SubjectID	Predicate	ObjectID	CombinedString
http://schema.org/Person	http://schema.org/creatorOf	http://schema.org/Place	Person; creatorOf; Place
http://schema.org/Person	http://schema.org/creatorOf	http://schema.org/MediaNode	Person; creatorOf; MediaNode
http://schema.org/Person	http://schema.org/creatorOf	http://schema.org/Person	Person; creatorOf; Person
http://schema.org/Person	http://schema.org/creatorOf	http://schema.org/Event	Person; creatorOf; Event
http://schema.org/Person	http://schema.org/creatorOf	http://schema.org/PostalAddress	Person; creatorOf; PostalAddress
http://schema.org/Person	http://schema.org/creatorOf	http://schema.org/Continent	Person; creatorOf; Continent
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/CreativeWork	Organization; creatorOf; CreativeWork
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/Organization	Organization; creatorOf; Organization
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/Place	Organization; creatorOf; Place
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/MediaNode	Organization; creatorOf; MediaNode
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/Person	Organization; creatorOf; Person
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/Event	Organization; creatorOf; Event
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/PostalAddress	Organization; creatorOf; PostalAddress
http://schema.org/Organization	http://schema.org/creatorOf	http://schema.org/Continent	Organization; creatorOf; Continent
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/Event	Person; memberOf; Event
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/CreativeWork	Person; memberOf; CreativeWork
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/Organization	Person; memberOf; Organization
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/Place	Person; memberOf; Place
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/MediaNode	Person; memberOf; MediaNode
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/Person	Person; memberOf; Person
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/PostalAddress	Person; memberOf; PostalAddress
http://schema.org/Person	http://schema.org/memberOf	http://schema.org/Continent	Person; memberOf; Continent
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/Event	Organization; memberOf; Event
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/CreativeWork	Organization; memberOf; CreativeWork
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/Organization	Organization; memberOf; Organization
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/Place	Organization; memberOf; Place
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/MediaNode	Organization; memberOf; MediaNode
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/Person	Organization; memberOf; Person
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/PostalAddress	Organization; memberOf; PostalAddress
http://schema.org/Organization	http://schema.org/memberOf	http://schema.org/Continent	Organization; memberOf; Continent
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/MediaObject	Person; isPartOf; MediaObject
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/Event	Person; isPartOf; Event
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/CreativeWork	Person; isPartOf; CreativeWork
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/Organization	Person; isPartOf; Organization
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/Place	Person; isPartOf; Place
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/MediaNode	Person; isPartOf; MediaNode
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/Person	Person; isPartOf; Person
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/PostalAddress	Person; isPartOf; PostalAddress
http://schema.org/Person	http://schema.org/isPartOf	http://schema.org/Continent	Person; isPartOf; Continent
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/MediaObject	Organization; isPartOf; MediaObject
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/Event	Organization; isPartOf; Event
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/CreativeWork	Organization; isPartOf; CreativeWork
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/Organization	Organization; isPartOf; Organization
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/Place	Organization; isPartOf; Place
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/MediaNode	Organization; isPartOf; MediaNode
http://schema.org/Organization	http://schema.org/isPartOf	http://schema.org/Person	Organization; isPartOf; Person
